State,City,Postal Code,Revenue,Orders,Customers,Quantity,Revenue_per_Customer
Alabama,Auburn,36830,1766.83,3,3,16,588.9433333333333
Alabama,Decatur,35601,3374.82,7,7,52,482.1171428571429
Alabama,Florence,35630,1997.35,3,3,24,665.7833333333333
Alabama,Hoover,35244,525.85,2,2,15,262.925
Alabama,Huntsville,35810,2484.3700000000003,7,7,40,354.91
Alabama,Mobile,36608,5462.99,4,4,52,1365.7475
Alabama,Montgomery,36116,3722.73,6,6,48,620.455
Alabama,Tuscaloosa,35401,175.70000000000002,2,2,9,87.85000000000001
Arizona,Avondale,85323,946.808,3,3,30,315.60266666666666
Arizona,Bullhead City,86442,22.288,1,1,3,22.288
Arizona,Chandler,85224,1076.747,6,6,23,179.45783333333335
Arizona,Gilbert,85234,4172.382,5,5,58,834.4763999999999
Arizona,Glendale,85301,2917.865,13,13,67,224.45115384615383
Arizona,Mesa,85204,4037.7400000000002,14,14,128,288.41
Arizona,Peoria,85345,1341.352,5,5,57,268.2704
Arizona,Phoenix,85023,11000.257,29,28,224,392.86632142857144
Arizona,Scottsdale,85254,1466.307,7,7,55,209.47242857142857
Arizona,Sierra Vista,85635,76.072,2,2,9,38.036
Arizona,Tempe,85281,1070.3020000000001,6,6,41,178.3836666666667
Arizona,Tucson,85705,6313.016,13,12,145,526.0846666666666
Arizona,Yuma,85364,840.865,4,4,22,210.21625
Arkansas,Conway,72032,301.96,1,1,2,301.96
Arkansas,Fayetteville,72701,3742.8100000000004,8,8,51,467.85125000000005
Arkansas,Hot Springs,71901,245.82999999999998,2,2,15,122.91499999999999
Arkansas,Jonesboro,72401,2915.32,5,5,53,583.0640000000001
Arkansas,Little Rock,72209,3560.35,6,6,90,593.3916666666667
Arkansas,Pine Bluff,71603,212.91,1,1,7,212.91
Arkansas,Rogers,72756,40.41,1,1,9,40.41
Arkansas,Springdale,72762,4.3,1,1,2,4.3
Arkansas,Texarkana,71854,654.24,2,2,11,327.12
California,Anaheim,92804,7986.87,9,9,112,887.43
California,Antioch,94509,19.44,1,1,3,19.44
California,Apple Valley,92307,1915.0810000000001,3,3,27,638.3603333333334
California,Bakersfield,93309,1377.29,8,8,47,172.16125
California,Brentwood,94513,5090.114,6,6,66,848.3523333333333
California,Burbank,91505,3247.1580000000004,1,1,13,3247.1580000000004
California,Camarillo,93010,1467.5175,2,2,16,733.75875
California,Chico,95928,2050.178,3,3,43,683.3926666666666
California,Chula Vista,91911,1041.62,3,3,13,347.20666666666665
California,Citrus Heights,95610,129.39,1,1,3,129.39
California,Coachella,92236,163.55,1,1,3,163.55
California,Concord,94521,2602.928,6,6,26,433.8213333333333
California,Costa Mesa,92627,1497.67,5,5,42,299.534
California,Danville,94526,1158.882,1,1,31,1158.882
California,Davis,95616,32.4,1,1,5,32.4
California,Dublin,94568,22.0,1,1,5,22.0
California,El Cajon,92020,865.616,2,2,6,432.808
California,Encinitas,92024,591.981,2,2,13,295.9905
California,Escondido,92025,94.548,3,3,9,31.516000000000002
California,Fairfield,94533,1470.584,2,2,30,735.292
California,Fresno,93727,7888.5285,11,10,106,788.85285
California,Hesperia,92345,1213.1715,3,3,18,404.3905
California,Huntington Beach,92646,2527.82,5,5,19,505.564
California,Inglewood,90301,3479.328,4,4,53,869.832
California,La Mesa,91941,367.53000000000003,1,1,8,367.53000000000003
