State,Revenue,Orders,Customers,Quantity,Revenue_per_Customer,Underserved
Alabama,19510.64,34,34,256,573.8423529411765,No
Arizona,35282.001,108,100,862,352.82000999999997,No
Arkansas,11678.13,27,27,240,432.5233333333333,No
California,457687.6315,1021,577,7667,793.219465337955,No
Colorado,32108.118,79,75,693,428.10823999999997,No
Connecticut,13384.357,45,43,281,311.26411627906975,Yes
Delaware,27451.069,44,43,367,638.3969534883721,No
District of Columbia,2865.02,4,4,40,716.255,No
Florida,89473.708,200,181,1379,494.32987845303865,No
Georgia,49095.84,91,83,705,591.5161445783132,No
Idaho,4382.486,11,11,64,398.4078181818182,No
Illinois,80166.101,276,237,1845,338.2535907172996,No
Indiana,53555.36,73,70,578,765.0765714285715,No
Iowa,4579.76,17,17,112,269.39764705882357,No
Kansas,2914.31,14,14,74,208.165,No
Kentucky,36591.75,61,58,523,630.8922413793103,No
Louisiana,9217.03,21,21,156,438.9061904761905,No
Maine,1270.53,3,3,35,423.51,No
Maryland,23705.523,46,45,420,526.7894,No
Massachusetts,28634.434,62,62,491,461.8457096774194,No
Michigan,76269.614,117,106,946,719.5246603773585,No
Minnesota,29863.15,44,42,331,711.027380952381,No
Mississippi,10771.34,26,25,221,430.85360000000003,No
Missouri,22205.15,30,28,252,793.0410714285715,No
Montana,5589.352,8,8,56,698.669,No
Nebraska,7464.93,23,23,136,324.56217391304347,No
Nevada,16729.102,23,23,168,727.3522608695652,No
New Hampshire,7292.524,17,17,127,428.97200000000004,No
New Jersey,35764.312,61,61,454,586.3001967213114,No
New Mexico,4783.522,22,22,151,217.4328181818182,No
New York,310876.271,562,415,4224,749.0994481927711,No
North Carolina,55603.164,136,122,983,455.7636393442623,No
North Dakota,919.91,2,2,30,459.955,No
Ohio,78258.136,236,202,1759,387.41651485148515,No
Oklahoma,19683.39,34,34,247,578.9232352941176,No
Oregon,17431.15,56,51,499,341.7872549019608,Yes
Pennsylvania,116511.914,288,257,2153,453.35375097276267,No
Rhode Island,22627.956,25,25,199,905.1182399999999,No
South Carolina,8481.71,20,19,172,446.40578947368414,No
South Dakota,1315.56,5,5,42,263.11199999999997,No
Tennessee,30661.873,91,84,681,365.0222976190476,No
Texas,170188.0458,487,370,3724,459.96769135135133,No
Utah,11220.056,26,26,219,431.5406153846154,No
Vermont,8929.369999999999,6,5,50,1785.8739999999998,No
Virginia,70636.72,115,107,893,660.156261682243,No
Washington,138641.27,256,224,1883,618.9342410714286,No
West Virginia,1209.824,2,2,18,604.912,No
Wisconsin,32114.61,53,52,463,617.5886538461539,No
Wyoming,1603.136,1,1,4,1603.136,No
